c1738;c1655;c771;c2032;c671;c1448
17.475;5;60.3875;434.708333333333;50.55;79.5833333333333
77.891666666654;180.249999999993;195.120833333301;134.124999999969;98.5416666666485;58.108333333333
102.618749999993;241.12499999999;442.633333333333;405.749999999976;70.8083333333335;7.5
168.287916666665;399.708333333322;351.654166666618;619.125;159.11874999998;388.941666666664
185.273333333316;506.74999999994;201.991666666667;356;147.08125;171.122916666639
206.110416666665;284.166666666667;172.8;417.208333333291;14.65;29.9
255.103333333329;339.666666666657;379.954166666594;98.5833333333206;1.95;522.833333333265
137.559583333334;239.333333333333;434.745833333333;191.999999999987;78.8;273
58.1624999999997;160.666666666657;422.6;732.541666666648;66.6;241
49.9687499999991;168.166666666662;310.9;465.666666666667;0;93.1
10.66875;77.1666666666667;114.549999999999;729.416666666581;0;120.7
2.6;0;25.2749999999993;756.583333333333;0;0
9.9541666666661;17;102.791666666664;496;0;11.3333333333333
69.9220833333297;108.541666666661;261.249999999996;468;0;112.520833333318
75.2349999999985;217.416666666659;476.729166666666;620.124999999913;0;41.8541666666661
202.210416666665;267.874999999995;589.816666666666;1026.87499999989;0;640.254166666567
139.218749999999;259.41666666666;492.9875;472.499999999958;0;511.166666666661
214.966666666659;431.75;199.354166666666;233.5;0;132.9
169.135416666666;345.333333333315;300.645833333333;553.791666666626;74.2;84
119.916666666658;253.666666666667;293;268.208333333333;34.45;334
71.7541666666656;143;603.24999999999;437;0;84.7083333333322
52.1416666666665;114.416666666664;469.945833333277;692;0;278.749999999965
23.4;53.5833333333333;205.904166666667;608.499999999986;0;435.249999999965
0;17;55.6;528.5;0;0
21.4562499999956;116;92.5;381;0;0
32.0041666666618;121.833333333329;333.2;197.541666666661;0;39.1333333333334
63.8604166666666;200.166666666667;452.341666666661;219.458333333333;47.5312499999838;343.37499999999
257.49583333332;329.874999999976;443.60833333331;602.958333333325;126.795833333333;292
234.358333333334;645.749999999983;108.987499999993;400.499999999867;27.4854166666663;94.5416666666667
137.285;399.375;419.0625;382.541666666667;57.5875;10.5
105;339.499999999986;284.2;171;20.9;6
57.1958333333255;264.041666666661;612;564;64.4645833333305;425.437499999998
63.3083333333313;168.458333333333;476.474999999981;554;106.185416666639;121.875
67.0958333333333;150.249999999993;455.391666666605;125;82.65;107
12.9916666666665;42.2083333333113;171.333333333333;146.583333333308;28.3;69.6333333333293
31.9583333333333;93.5416666666667;156.1;509.416666666639;26.2;22.95
67.170833333329;87;49.2708333333332;167;10.4395833333327;208
68.6791666666666;58.9583333333252;153.429166666667;720.249999999882;62.5604166666665;105
145.531249999985;340.374999999981;407.066666666666;567.624999999976;85.4;84.1749999999979
261.706249999996;401.666666666667;384.29999999996;557.125;127.55;176.38749999995
129.685416666664;450.958333333325;516.933333333333;60;72.40625;83
113.797916666664;321.416666666628;208.208333333329;63.0833333333218;22.49375;37
136.437499999996;284.749999999997;297.14166666664;55.9166666666667;44.7;12
91.1416666666667;290.875;483.23333333333;161;93.55;56
95.6833333333285;165.083333333322;442.158333333314;161.999999999972;115.5;112
51.7166666666666;118.916666666667;419.458333333333;141;85.4;0
3.6;48;91.1;523;36.05;19.15
32.75;114.124999999997;127.016666666637;344;27.2999999999986;2.3
2.75;28.875;113.783333333319;610;23.2;208
101.062499999998;249;324.9;208;56.899999999972;28.8666666666667
147.2875;237.124999999997;261.466666666657;255.416666666609;81.672916666664;218.083333333322
